date,new_cases_Denmark,new_deaths_Denmark,new_cases_Germany,new_deaths_Germany,new_cases_Spain,new_deaths_Spain,new_cases_Finland,new_deaths_Finland,new_cases_Italy,new_deaths_Italy,new_cases_Sweden,new_deaths_Sweden,new_cases_France,new_deaths_France,new_cases_Norway,new_deaths_Norway,new_cases_United Kingdom,new_deaths_United Kingdom,new_cases_United States,new_deaths_United States,new_cases_Canada,new_deaths_Canada,new_cases_Mexico,new_deaths_Mexico,new_cases_Australia,new_deaths_Australia,new_cases_Indonesia,new_deaths_Indonesia,new_cases_Malaysia,new_deaths_Malaysia,new_cases_Philippines,new_deaths_Philippines,new_cases_Thailand,new_deaths_Thailand,new_cases_Vietnam,new_deaths_Vietnam,new_cases_China,new_deaths_China,new_cases_India,new_deaths_India,new_cases_Japan,new_deaths_Japan,new_cases_Singapore,new_deaths_Singapore,new_cases_Taiwan,new_deaths_Taiwan,new_cases_Saudi Arabia,new_deaths_Saudi Arabia,new_cases_United Arab Emirates,new_deaths_United Arab Emirates
2020-05-27,54.857142857142854,1.7142857142857142,479.57142857142856,37.0,602.0,-110.0,32.714285714285715,1.5714285714285714,550.8571428571429,112.28571428571429,542.8571428571429,49.42857142857143,304.0,72.57142857142857,15.285714285714286,0.2857142857142857,2131.5714285714284,246.57142857142858,21806.285714285714,999.2857142857143,1076.4285714285713,103.85714285714286,2887.714285714286,352.57142857142856,9.285714285714286,0.42857142857142855,667.0,28.142857142857142,89.42857142857143,0.14285714285714285,246.71428571428572,7.0,1.5714285714285714,0.14285714285714285,0.42857142857142855,0.0,5.428571428571429,0.0,6431.0,147.71428571428572,38.0,12.428571428571429,507.0,0.14285714285714285,0.14285714285714285,0.0,2410.285714285714,11.714285714285714,860.4285714285714,3.7142857142857144
2020-05-28,51.857142857142854,1.5714285714285714,423.57142857142856,37.714285714285715,695.5714285714286,-117.28571428571429,35.57142857142857,1.2857142857142858,539.2857142857143,106.0,541.7142857142857,47.57142857142857,271.57142857142856,66.28571428571429,16.428571428571427,0.14285714285714285,1934.4285714285713,260.0,21154.285714285714,1000.4285714285714,1059.5714285714287,105.0,3061.285714285714,358.14285714285717,8.571428571428571,0.2857142857142857,666.0,33.0,87.14285714285714,0.14285714285714285,261.14285714285717,8.857142857142858,2.857142857142857,0.14285714285714285,0.42857142857142855,0.0,5.571428571428571,0.0,6567.714285714285,156.57142857142858,32.42857142857143,11.571428571428571,501.7142857142857,0.14285714285714285,0.0,0.0,2285.1428571428573,12.285714285714286,852.1428571428571,3.142857142857143
2020-05-29,47.142857142857146,1.0,463.7142857142857,39.42857142857143,534.2857142857143,-215.28571428571428,35.714285714285715,1.0,532.2857142857143,93.71428571428571,565.1428571428571,45.57142857142857,701.1428571428571,63.857142857142854,19.0,0.2857142857142857,1808.2857142857142,270.0,20637.571428571428,987.8571428571429,1026.857142857143,103.57142857142857,3119.0,362.0,9.857142857142858,0.2857142857142857,625.1428571428571,31.142857142857142,81.42857142857143,0.14285714285714285,307.7142857142857,10.714285714285714,4.0,0.14285714285714285,0.42857142857142855,0.0,3.857142857142857,0.0,6764.571428571428,160.42857142857142,29.428571428571427,11.142857142857142,491.0,0.0,0.0,0.0,2158.285714285714,12.857142857142858,804.8571428571429,3.0
2020-05-30,51.857142857142854,1.0,478.0,39.0,562.5714285714286,-221.85714285714286,34.142857142857146,1.1428571428571428,512.8571428571429,87.57142857142857,599.5714285714286,43.57142857142857,728.8571428571429,60.714285714285715,14.571428571428571,0.14285714285714285,1692.0,267.57142857142856,20807.571428571428,975.5714285714286,991.1428571428571,104.14285714285714,3157.1428571428573,346.57142857142856,11.142857142857142,0.14285714285714285,631.4285714285714,27.714285714285715,85.0,0.0,433.85714285714283,12.142857142857142,5.142857142857143,0.14285714285714285,0.42857142857142855,0.0,6.0,0.0,6951.714285714285,178.71428571428572,38.285714285714285,11.142857142857142,490.57142857142856,0.0,0.14285714285714285,0.0,2006.7142857142858,13.428571428571429,754.0,2.7142857142857144
2020-05-31,49.142857142857146,1.4285714285714286,457.2857142857143,36.142857142857146,522.4285714285714,-232.14285714285714,36.857142857142854,1.4285714285714286,476.7142857142857,86.42857142857143,603.7142857142857,41.285714285714285,955.7142857142857,62.714285714285715,14.571428571428571,0.14285714285714285,1615.5714285714287,258.14285714285717,21102.0,956.2857142857143,938.4285714285714,102.57142857142857,3093.714285714286,371.42857142857144,11.285714285714286,0.0,575.4285714285714,31.714285714285715,82.42857142857143,0.0,492.42857142857144,12.428571428571429,5.857142857142857,0.14285714285714285,0.42857142857142855,0.0,6.285714285714286,0.0,7182.142857142857,185.28571428571428,43.0,10.142857142857142,471.14285714285717,0.0,0.14285714285714285,0.0,1889.0,14.428571428571429,741.7142857142857,2.5714285714285716
2020-06-01,44.142857142857146,1.7142857142857142,463.57142857142856,36.285714285714285,605.4285714285714,41.857142857142854,40.0,1.8571428571428572,451.57142857142856,90.0,611.5714285714286,38.857142857142854,976.0,62.142857142857146,14.571428571428571,0.14285714285714285,1558.142857142857,212.57142857142858,20993.285714285714,951.8571428571429,892.5714285714286,124.42857142857143,3149.1428571428573,362.2857142857143,12.285714285714286,0.0,600.2857142857143,34.42857142857143,82.0,0.0,578.7142857142857,12.714285714285714,5.571428571428571,0.0,0.42857142857142855,0.0,7.428571428571429,0.0,7384.285714285715,196.14285714285714,43.285714285714285,8.857142857142858,466.85714285714283,0.0,0.14285714285714285,0.0,1814.4285714285713,16.142857142857142,724.5714285714286,2.7142857142857144
2020-06-02,44.57142857142857,1.8571428571428572,432.2857142857143,31.428571428571427,524.7142857142857,1.4285714285714286,40.857142857142854,1.7142857142857142,434.14285714285717,85.42857142857143,634.0,39.0,973.1428571428571,57.285714285714285,8.428571428571429,0.14285714285714285,1517.4285714285713,210.0,21282.14285714286,989.5714285714286,856.2857142857143,111.57142857142857,3190.0,362.0,12.285714285714286,0.0,598.5714285714286,35.714285714285715,62.857142857142854,0.0,617.0,12.428571428571429,5.714285714285714,0.0,0.2857142857142857,0.0,7.428571428571429,0.0,7618.0,204.42857142857142,43.857142857142854,6.857142857142857,476.0,0.14285714285714285,0.2857142857142857,0.0,1763.857142857143,18.0,697.8571428571429,2.5714285714285716
2020-06-03,43.714285714285715,2.4285714285714284,429.42857142857144,28.857142857142858,508.14285714285717,1.4285714285714286,37.0,1.1428571428571428,422.85714285714283,82.14285714285714,656.1428571428571,38.714285714285715,824.2857142857143,58.57142857142857,11.714285714285714,0.2857142857142857,1491.2857142857142,226.85714285714286,21515.571428571428,1037.857142857143,823.2857142857143,108.0,3252.285714285714,357.57142857142856,12.571428571428571,0.0,626.2857142857143,35.0,39.0,0.0,618.2857142857143,11.428571428571429,5.428571428571429,0.14285714285714285,0.14285714285714285,0.0,8.0,0.0,7978.285714285715,211.14285714285714,47.857142857142854,6.0,499.0,0.14285714285714285,0.2857142857142857,0.0,1755.0,19.714285714285715,671.7142857142857,2.2857142857142856
2020-06-04,41.57142857142857,2.142857142857143,435.2857142857143,24.285714285714285,393.42857142857144,2.0,31.285714285714285,1.1428571428571428,385.2857142857143,75.57142857142857,691.2857142857143,40.0,847.2857142857143,60.714285714285715,9.0,0.2857142857142857,1464.4285714285713,202.85714285714286,21655.285714285714,961.8571428571429,795.1428571428571,104.71428571428571,3316.4285714285716,447.2857142857143,12.857142857142858,0.0,626.0,32.142857142857146,50.142857142857146,0.0,671.2857142857143,10.0,6.714285714285714,0.14285714285714285,0.14285714285714285,0.0,7.714285714285714,0.0,8369.42857142857,220.57142857142858,52.42857142857143,6.428571428571429,504.14285714285717,0.14285714285714285,0.2857142857142857,0.0,1805.857142857143,22.0,627.1428571428571,2.142857142857143
2020-06-05,42.714285714285715,2.0,401.85714285714283,23.285714285714285,344.85714285714283,1.8571428571428572,24.0,1.2857142857142858,325.85714285714283,78.14285714285714,729.1428571428571,38.142857142857146,481.85714285714283,57.57142857142857,10.857142857142858,0.2857142857142857,1396.0,172.42857142857142,21558.571428571428,942.0,744.8571428571429,108.57142857142857,3468.5714285714284,500.14285714285717,12.857142857142858,0.0,611.4285714285714,32.142857142857146,48.714285714285715,0.0,684.8571428571429,9.0,5.285714285714286,0.14285714285714285,0.14285714285714285,0.0,9.285714285714286,0.0,8710.142857142857,234.57142857142858,49.285714285714285,4.714285714285714,524.7142857142857,0.14285714285714285,0.2857142857142857,0.0,1853.142857142857,24.285714285714285,640.8571428571429,2.142857142857143
